surface	path	source_ref	live_state	line_count_or_size	bucket	decision_note
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/反証/LLMに身体はあるか_反証.md	refs/stash	missing	5078 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/構造的アテンション_草稿.md	refs/stash	missing	18833 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/現況台帳.md	refs/stash	missing	6758 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/知性は溶媒である_草稿.md	refs/stash	missing	18046 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/認知射_草稿.md	refs/stash	missing	7698 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/01_研究論文｜Papers/論文可能性分析_増強版.md	refs/stash	missing	13536 bytes	restore-candidate	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/02_素材｜Materials/F1論文消化_iGRPO等_2026-02-14.md	refs/stash	missing	2584 bytes	review-required	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/02_素材｜Materials/README.md	refs/stash	missing	420 bytes	review-required	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/02_素材｜Materials/TTS_4論文統合消化記録_2026-02-14.md	refs/stash	missing	11674 bytes	review-required	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/README.md	refs/stash	present-untracked-or-ignored	3337 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/.gitkeep	refs/stash	present-untracked-or-ignored	0 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/CKA_KLブリッジ.md	refs/stash	present-untracked-or-ignored	31366 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/Face補題_証明修正.md	refs/stash	present-untracked-or-ignored	14973 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/Phase2_計算レポート統合版.md	refs/stash	present-untracked-or-ignored	15471 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/SUPO消化記録_2025-10_2026-03-25.md	refs/stash	present-untracked-or-ignored	8478 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/sap_20260421_arithmetic_euler_sigma.md	refs/stash	missing	16276 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/β_λブリッジ検証.py	refs/stash	present-untracked-or-ignored	14367 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/予測_AgentSwing不可逆性テーゼ.md	refs/stash	present-untracked-or-ignored	12144 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/構成_CPS-Gauge関手.md	refs/stash	present-untracked-or-ignored	11484 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/発表戦略_忘却関手の射影.md	refs/stash	present-untracked-or-ignored	3275 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/精読レポート_論文I_II_III.md	refs/stash	present-untracked-or-ignored	23449 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
root:refs/stash-added	/home/makaron8426/Sync/oikos/01_ヘゲモニコン｜Hegemonikon/10_知性｜Nous/04_企画｜Boulēsis/12_遊学｜Yugaku/03_忘却論｜Oblivion/calculations/統一表_場と要素_メモ.md	refs/stash	present-untracked-or-ignored	2925 bytes	nested-or-root-reconcile	present in refs/stash but absent from current HEAD
