model_name,elo_norm,avg_discarded,avg_preserved,gap,n_scenarios,demonstrated_empathy,warmth,social_dexterity,humanlike,analytical,depth_of_insight,pragmatic_ei,safety_conscious,moralising,compliant
google/gemma-3-27b-it,1040.7,15.384615384615385,16.394871794871793,1.0102564102564084,26,16.26923076923077,14.307692307692308,14.653846153846153,16.307692307692307,18.03846153846154,15.8,15.346153846153847,15.461538461538462,9.038461538461538,13.384615384615385
grok-3-mini-beta,984.68,15.846153846153847,16.744729344729347,0.8985754985755001,26,17.115384615384617,15.153846153846153,15.423076923076923,15.692307692307692,18.153846153846153,16.31111111111111,15.76923076923077,15.576923076923077,8.692307692307692,15.846153846153847
Qwen/Qwen3-32B,952.93,14.923076923076923,15.687464387464388,0.7643874643874646,26,15.807692307692308,14.038461538461538,14.384615384615385,15.461538461538462,16.96153846153846,15.177777777777777,14.923076923076923,15.23076923076923,9.461538461538462,14.192307692307692
gpt-4.1-nano,903.58,15.46,16.096363636363638,0.6363636363636367,25,16.44,14.96,14.84,15.6,17.16,15.409090909090908,15.72,15.32,8.32,14.0
nvidia/llama-3.1-nemotron-ultra-253b-v1:free,868.05,15.096153846153847,16.013675213675214,0.9175213675213669,26,16.03846153846154,14.23076923076923,15.038461538461538,15.076923076923077,17.692307692307693,14.733333333333333,15.615384615384615,14.846153846153847,8.115384615384615,14.5
google/gemma-3-4b-it,856.42,15.096153846153847,16.125925925925927,1.02977207977208,26,15.961538461538462,14.076923076923077,14.26923076923077,16.076923076923077,18.0,15.377777777777778,15.0,15.961538461538462,9.384615384615385,14.307692307692308
openai/gpt-oss-20b,800.23,13.769230769230768,15.828205128205129,2.0589743589743605,26,14.73076923076923,12.73076923076923,13.423076923076923,14.192307692307692,17.615384615384617,15.6,14.26923076923077,15.038461538461538,8.576923076923077,14.73076923076923
google/gemini-2.0-flash-001,775.32,13.432692307692307,14.442735042735043,1.0100427350427363,26,14.076923076923077,12.961538461538462,12.5,14.192307692307692,16.192307692307693,13.866666666666667,13.26923076923077,15.038461538461538,8.692307692307692,14.423076923076923
mistralai/Mistral-Large-Instruct-2411,762.73,13.798076923076923,14.5011396011396,0.7030626780626772,26,14.423076923076923,13.73076923076923,13.423076923076923,13.615384615384615,16.26923076923077,13.311111111111112,13.923076923076923,14.153846153846153,8.538461538461538,14.346153846153847
Qwen/Qwen3-8B,746.63,15.086538461538462,16.125641025641027,1.0391025641025653,26,16.115384615384617,14.0,14.307692307692308,15.923076923076923,17.73076923076923,15.8,14.846153846153847,15.653846153846153,9.538461538461538,14.0
Qwen/Qwen3-30B-A3B,729.92,13.663461538461538,13.941025641025641,0.2775641025641029,26,14.384615384615385,13.653846153846153,12.807692307692308,13.807692307692308,15.576923076923077,13.4,12.846153846153847,15.384615384615385,9.038461538461538,15.192307692307692
qwen/qwen-2.5-72b-instruct,691.47,13.51923076923077,14.654700854700854,1.135470085470084,26,14.384615384615385,13.192307692307692,13.115384615384615,13.384615384615385,16.5,13.733333333333333,13.73076923076923,15.538461538461538,9.0,15.692307692307692
mistralai/mistral-small-3.1-24b-instruct,637.89,13.115384615384615,13.896866096866097,0.7814814814814817,26,14.23076923076923,13.192307692307692,12.423076923076923,12.615384615384615,15.884615384615385,12.844444444444445,12.961538461538462,14.846153846153847,10.038461538461538,15.423076923076923
meta-llama/llama-4-maverick,627.84,13.134615384615385,13.627350427350427,0.4927350427350419,26,13.884615384615385,12.576923076923077,12.884615384615385,13.192307692307692,15.423076923076923,12.266666666666667,13.192307692307692,15.461538461538462,7.923076923076923,14.576923076923077
mistralai/mistral-small-24b-instruct-2501,618.52,13.028846153846153,13.89044289044289,0.8615967365967361,26,14.192307692307692,13.076923076923077,12.307692307692308,12.538461538461538,15.653846153846153,12.863636363636363,13.153846153846153,14.923076923076923,9.384615384615385,15.192307692307692
meta-llama/llama-4-scout,469.36,11.923076923076923,12.565811965811966,0.6427350427350422,26,12.73076923076923,12.038461538461538,10.846153846153847,12.076923076923077,14.615384615384615,11.466666666666667,11.615384615384615,14.538461538461538,8.884615384615385,14.923076923076923
gpt-4-0314,435.07,11.942307692307692,11.894017094017094,-0.04829059829059723,26,12.692307692307692,12.307692307692308,11.115384615384615,11.653846153846153,13.346153846153847,11.066666666666666,11.26923076923077,14.961538461538462,9.23076923076923,14.923076923076923
google/gemma-2-9b-it,388.04,9.120000000000001,9.489922480620155,0.3699224806201542,25,10.08,9.6,7.92,8.88,10.76,9.069767441860465,8.64,12.52,6.84,12.52
meta-llama/llama-3.2-1b-instruct,200.0,4.403846153846154,5.1350427350427355,0.7311965811965813,26,4.8076923076923075,5.8076923076923075,2.8461538461538463,4.153846153846154,6.923076923076923,4.866666666666666,3.6153846153846154,9.307692307692308,7.384615384615385,9.615384615384615
